id-gcso 	Idaho 	Gooding Co Sheriff's Office 	Y
id-jfso 	Idaho 	Jefferson Co Sheriff's Office 	Y
id-jcso 	Idaho 	Jerome County Sheriff's Office 	Y
id-lcso 	Idaho 	Lewis Co Sheriff's Office 	Y
id-mcso 	Idaho 	Madison County Sheriff's Office 	Y
id-ocso 	Idaho 	Owyhee Co Sheriff's Office 	Y
id-pyso 	Idaho 	Payette Co Sheriff's Office 	Y
id-pcso 	Idaho 	Power Co Sheriff's Office 	Y
id-scso 	Idaho 	Shoshone County Sheriff's Office 	Y
id-tfcso 	Idaho 	Twin Falls Co Sheriff's Office 	Y
id-vcso 	Idaho 	Valley Co Sheriff's Office 	Y
id-wcso 	Idaho 	Washington County Sheriff's Office 	Y
il-ccsd 	Illinois 	Clinton County Sheriff's Department 	Y
il-clso 	Illinois 	Coles Co Sheriff's Office 	Y
il-ccso 	Illinois 	Cook County Sheriff's Office 	Y
il-dcso 	Illinois 	DeKalb County Sheriff's Office 	Y
il-dupa 	Illinois 	Dupage County Sheriff's Office 	Y
il-gcsp 	Illinois 	Grundy County Sheriff's Police 	Y
il-kcso 	Illinois 	Kane County Sheriff's Office 	Y
il-lcso 	Illinois 	Lake County Sheriff's Office 	Y
il-leso 	Illinois 	Lee Co Sheriff's Office 	Y
il-mcso 	Illinois 	McHenry Co Sheriff's Office 	Y
il-pcso 	Illinois 	Peoria County Sheriff's Office 	Y
il-tcso 	Illinois 	Tazewell County Sheriff's Office 	Y
il-will 	Illinois 	Will County Sheriff's Office 	Y
il-wcso 	Illinois 	Winnebago County Sheriff's Office 	Y
in-acso 	Indiana 	Allen County Sheriff's Office 	Y
in-bcso 	Indiana 	Boone County Sheriff's Office 	Y
in-brwn 	Indiana 	Brown County Sheriff's Office 	Y
in-clso 	Indiana 	Clark County Sheriff's Office 	Y
in-ccsd 	Indiana 	Clay County Sheriff's Department 	Y
in-ccso 	Indiana 	Crawford County Sheriff's Office 	Y
in-dcso 	Indiana 	Dearborn County Sheriff's Office 	Y
in-dKso 	Indiana 	DeKalb County Sheriff's Office 	Y
in-dela 	Indiana 	Delaware County Sheriff’s Office 	Y
in-dbso 	Indiana 	Dubois County Sheriff's Office 	Y
in-gbcj 	Indiana 	Gibson County Jail 	Y
in-hc 	Indiana 	Hamilton County Sheriff's Office 	Y
in-hcso 	Indiana 	Hancock County Sheriff's Office 	Y
in-hend 	Indiana 	Hendricks County Sheriff's Office 	Y
in-howa 	Indiana 	Howard County Sheriff's Office 	Y
in-jack 	Indiana 	Jackson County Sheriff’s Office 	Y
in-jcso 	Indiana 	Jasper County Sheriff's Office 	Y
in-kcso 	Indiana 	Knox County Sheriff's Office 	Y
in-lpc 	Indiana 	La Porte County Sheriff's Office 	Y
in-mdsn 	Indiana 	Madison County Sheriff's Office 	Y
in-mcso 	Indiana 	Marion County Sheriff's Office 	Y
in-mmso 	Indiana 	Miami County Sheriff's Office 	Y
in-mont 	Indiana 	Montgomery County Sheriff's Office 	Y
in-ntcj 	Indiana 	Newton County Jail 	Y
in-perr 	Indiana 	Perry County Sheriff's Office 	Y
in-pcso 	Indiana 	Pulaski County Sheriff's Office 	Y
in-putn 	Indiana 	Putnam County Sheriff's Office 	Y
in-rcso 	Indiana 	Ripley County Sheriff's Office 	Y
in-scot 	Indiana 	Scott County Sheriff's Office 	Y
in-scso 	Indiana 	Scott County Sheriff's Office 	Y
in-sjc 	Indiana 	St. Joseph County Police Department 	Y
in-strk 	Indiana 	Starke County Sheriff’s Office 	Y
in-stso 	Indiana 	Steuben County Sheriff's Office 	Y
in-tcso 	Indiana 	Tippecanoe County Sheriff's Office 	Y
in-vnso 	Indiana 	Vanderburgh County Sheriff's Office 	Y
in-vrso 	Indiana 	Vermillion County Sheriff's Office 	Y
in-vcso 	Indiana 	Vigo County Sheriff's Office 	Y
in-wcso 	Indiana 	Whitley County Sheriff's Office 	Y
ia-amso 	Iowa 	Adams Co Sheriff's Office 	Y
ia-apcj 	Iowa 	Appanoose County Jail 	Y
ia-acso 	Iowa 	Audubon Co Sheriff's Office 	Y
ia-bhcso 	Iowa 	Black Hawk Co Sheriff's Office 	Y
ia-bnso 	Iowa 	Boone Co Sheriff's Office 	Y
ia-brso 	Iowa 	Bremer County Sheriff's Office 	Y
ia-bcso 	Iowa 	Buchanan Co Sheriff's Office 	Y
ia-bvcso 	Iowa 	Buena Vista Co Sheriff's Office 	Y
ia-btso 	Iowa 	Butler Co Sheriff's Office 	Y
ia-ccso 	Iowa 	Carroll Co Sheriff's Office 	Y
ia-csso 	Iowa 	Cass County Sheriff's Office 	Y
ia-cdso 	Iowa 	Cedar Co Sheriff's Office 	Y
ia-cgcso 	Iowa 	Cerro Gordo Co Sheriff's Office 	Y
ia-chso 	Iowa 	Chickasaw Co Sheriff's Office 	Y
ia-ckso 	Iowa 	Clarke Co Sheriff's Office 	Y
ia-clyso 	Iowa 	Clay County Sheriff's Office 	Y
ia-cyso 	Iowa 	Clayton Co Sheriff's Office 	Y
ia-ccsd 	Iowa 	Crawford Co Sheriff's Dept 	Y
ia-dcsd 	Iowa 	Dallas Co Sheriff's Dept 	Y
ia-dcso 	Iowa 	Davis Co Sheriff's Office 	Y
ia-dcj 	Iowa 	Decatur County Jail 	Y
ia-dlso 	Iowa 	Delaware Co Sheriff's Office 	Y
ia-dmcso 	Iowa 	Des Moines Co Sheriff's Office 	Y
ia-dubu 	Iowa 	Dubuque County Sheriff’s Office 	Y
ia-ecso 	Iowa 	Emmett Co Sheriff's Office 	Y
ia-fcso 	Iowa 	Fayette County Sheriff's Office 	Y
ia-gcso 	Iowa 	Grundy Co Sheriff's Office 	Y
ia-hrso 	Iowa 	Hardin County Sheriff's Office 	Y
ia-hcso 	Iowa 	Harrison Co Sheriff's Office 	Y
ia-hcsd 	Iowa 	Henry Co Sheriff's Dept 	Y
ia-hmso 	Iowa 	Humboldt Co Sheriff's Office 	Y
ia-idc 	Iowa 	Iowa Department of Corrections 	Y
ia-jcso 	Iowa 	Jackson Co Sheriff's Office 	Y
ia-jsso 	Iowa 	Jasper Co Sheriff's Office 	Y
ia-jfso 	Iowa 	Jefferson Co Sheriff's Office 	Y
ia-jhso 	Iowa 	Johnson Co Sheriff's Office 	Y
ia-kcso 	Iowa 	Keokuk Co Sheriff's Office 	Y
ia-leso 	Iowa 	Lee Co Sheriff's Office 	Y
ia-lnso 	Iowa 	Linn Co Sheriff's Office 	Y
ia-lcso 	Iowa 	Louisa Co Sheriff's Office 	Y
ia-lsso 	Iowa 	Lucas Co Sheriff's Office 	Y
ia-mdso 	Iowa 	Madison Co Sheriff's Office 	Y
ia-mrso 	Iowa 	Marion County Sheriff's Office 	Y
ia-mrshll 	Iowa 	Marshall County Sheriff's Office 	Y
ia-mlso 	Iowa 	Mills Co Sheriff's Office 	Y
ia-mtso 	Iowa 	Mitchell Co Sheriff's Office 	Y
ia-mnso 	Iowa 	Monona Co Sheriff's Office 	Y
ia-mcso 	Iowa 	Monroe Co Sheriff's Office 	Y
ia-mgso 	Iowa 	Montgomery Co Sheriff's Office 	Y
ia-msso 	Iowa 	Muscatine Co Sheriff's Office 	Y
ia-ocso 	Iowa 	O'Brien Co Sheriff's Office 	Y
ia-pgso 	Iowa 	Page Co Sheriff's Office 	Y
ia-plso 	Iowa 	Plymouth Co Sheriff's Office 	Y
ia-phso 	Iowa 	Pocahontas Co Sheriff's Office 	Y
ia-pcso 	Iowa 	Polk County Sheriff's Office 	Y
ia-ptso 	Iowa 	Pottawattamie Co Sheriff's Office 	Y
ia-pwso 	Iowa 	Poweshiek Co Sheriff's Office 	Y
ia-sccj 	Iowa 	Scott County Jail 	Y
ia-scso 	Iowa 	Shelby Co Sheriff's Office 	Y
ia-stcj 	Iowa 	Story County Jail 	Y
ia-tcso 	Iowa 	Tama Co Sheriff's Office 	Y
ia-vbcso 	Iowa 	Van Buren Co Sheriff's Office 	Y
ia-wpso 	Iowa 	Wapello Co Sheriff's Office 	Y
ia-wyso 	Iowa 	Wayne County Sheriff's Office 	Y
ia-wcso 	Iowa 	Winneshiek Co Sheriff's Office 	Y
ia-wood 	Iowa 	Woodbury County Sheriff's Office 	Y
ia-wrso 	Iowa 	Wright Co Sheriff's Office 	Y
ks-ccso 	Kansas 	Cherokee County Sheriff’s Office 	Y
ks-pcso 	Kansas 	Pratt County Sheriff’s Office 	Y
ks-scso 	Kansas 	Sedgwick County Sheriff's Office 	Y
ky-acso 	Kentucky 	Adair County Sheriff's Office 	Y
ky-acdc 	Kentucky 	Allen County Detention Center 	Y
ky-bcdc 	Kentucky 	Ballard County Detention Center 	Y
ky-bndc 	Kentucky 	Barren County Detention Center 	Y
ky-bcj 	Kentucky 	Bell County Jail 	Y
ky-bsdc 	Kentucky 	Big Sandy Regional Detention Center 	Y
ky-budc 	Kentucky 	Bourbon County Detention Center 	Y
ky-bydc 	Kentucky 	Boyd County Detention Center 	Y
ky-bldc 	Kentucky 	Boyle County Detention Center 	Y
ky-bcso 	Kentucky 	Breckenridge County Sheriff's Office 	Y
ky-bddc 	Kentucky 	Breckinridge County Detention Center 	Y
ky-blso 	Kentucky 	Bullitt County Sheriff's Office 	Y
ky-ccj 	Kentucky 	Calloway County Jail 	Y
ky-cpdc 	Kentucky 	Campbell County Detention Center 	Y
ky-ccdc 	Kentucky 	Carroll County Detention Center 	Y
ky-cadc 	Kentucky 	Carter County Detention Center 	Y
ky-cyj 	Kentucky 	Casey County Jail 	Y
ky-ccsd 	Kentucky 	Christian County Sheriff's Department 	Y
ky-ckdc 	Kentucky 	Clark County Detention Center 	Y
ky-cldc 	Kentucky 	Clay County Detention Center 	Y
ky-ctdc 	Kentucky 	Crittenden County Detention Center 	Y
ky-dcdc 	Kentucky 	Daviess County Detention Center 	Y
ky-fcrj 	Kentucky 	Franklin County Regional Jail 	Y
ky-fcdc 	Kentucky 	Fulton County Detention Center 	Y
ky-gcj 	Kentucky 	Grant County Jail 	Y
ky-gcsd 	Kentucky 	Grayson County Sheriff's Department 	Y
ky-grsd 	Kentucky 	Greenup County Sheriff's Department 	Y
ky-hcdc 	Kentucky 	Hardin County Detention Center 	Y
ky-hndc 	Kentucky 	Harlan County Detention Center 	Y
ky-hcj 	Kentucky 	Hart County Jail 	Y
